Date,OPEN,HIGH,LOW,LAST_PRICE,VOLUME
07/08/17 15:06,1790.5,1790.75,1789.45,1789.5,2892
07/08/17 15:07,1789.35,1790.2,1789.15,1789.5,2190
07/08/17 15:08,1790.15,1790.15,1788.85,1788.85,3521
07/08/17 15:09,1789.8,1789.9,1788.5,1789.5,1605
07/08/17 15:10,1789.0,1790.0,1788.5,1788.5,3453
07/08/17 15:11,1788.5,1789.5,1787.85,1788.0,4257
07/08/17 15:12,1788.95,1789.0,1787.0,1787.15,2362
07/08/17 15:13,1788.6,1788.6,1787.0,1787.55,5801
07/08/17 15:14,1787.1,1788.0,1787.0,1787.1,1541
07/08/17 15:15,1788.25,1788.7,1787.2,1787.2,7446
07/08/17 15:16,1787.25,1788.9,1787.2,1788.9,4456
07/08/17 15:17,1787.8,1789.0,1787.55,1787.55,957
07/08/17 15:18,1788.1,1788.75,1787.4,1788.0,2046
07/08/17 15:19,1787.5,1788.0,1787.0,1787.35,1078
07/08/17 15:20,1787.55,1788.55,1787.2,1787.45,1446
07/08/17 15:21,1788.45,1788.5,1787.25,1788.5,2985
07/08/17 15:22,1789.0,1789.6,1788.55,1789.0,2320
07/08/17 15:23,1789.0,1789.9,1789.0,1789.2,3687
07/08/17 15:24,1789.25,1789.4,1788.0,1788.25,2220
07/08/17 15:25,1788.2,1788.95,1788.2,1788.25,872
07/08/17 15:26,1788.25,1788.7,1788.0,1788.35,2794
07/08/17 15:27,1788.5,1788.75,1787.0,1788.0,6006
07/08/17 15:28,1788.3,1788.3,1787.0,1787.0,4015
07/08/17 15:29,1787.0,1788.95,1787.0,1788.95,2256
07/08/17 15:40,1788.55,1788.55,1788.55,1788.55,200
07/08/17 15:51,1788.55,1788.55,1788.55,1788.55,40
07/08/17 15:54,1788.55,1788.55,1788.55,1788.55,20
08/08/17 09:07,1792.1,1792.1,1792.1,1792.1,494
08/08/17 09:15,1790.15,1791.75,1789.0,1789.0,2826
08/08/17 09:16,1789.6,1792.0,1789.0,1791.95,17359
08/08/17 09:17,1792.0,1795.0,1792.0,1795.0,14863
08/08/17 09:18,1795.5,1797.0,1793.9,1794.7,21783
08/08/17 09:19,1793.95,1794.5,1792.35,1793.5,2237
08/08/17 09:20,1793.0,1793.0,1791.0,1792.0,1419
08/08/17 09:21,1792.15,1792.2,1791.3,1791.9,738
08/08/17 09:22,1791.55,1792.75,1791.4,1792.05,1249
08/08/17 09:23,1792.0,1792.95,1791.15,1791.75,645
08/08/17 09:24,1791.6,1791.6,1790.6,1790.6,1261
08/08/17 09:25,1790.95,1791.35,1790.0,1790.3,592
08/08/17 09:26,1790.0,1790.6,1790.0,1790.1,779
08/08/17 09:27,1790.1,1790.9,1788.85,1788.85,1234
08/08/17 09:28,1788.25,1788.7,1787.4,1787.65,727
08/08/17 09:29,1787.75,1789.5,1787.75,1789.0,388
08/08/17 09:30,1789.0,1789.0,1788.1,1788.1,441
08/08/17 09:31,1788.55,1789.0,1788.1,1789.0,1079
08/08/17 09:32,1789.0,1789.0,1788.0,1788.0,812
08/08/17 09:33,1788.0,1788.0,1783.05,1783.05,5883
08/08/17 09:34,1783.05,1785.3,1783.05,1784.0,1608
08/08/17 09:35,1784.05,1785.15,1783.55,1785.15,1837
08/08/17 09:36,1785.75,1785.8,1784.9,1785.3,521
08/08/17 09:37,1785.3,1786.0,1785.05,1785.45,547
08/08/17 09:38,1785.55,1785.9,1785.1,1785.5,1665
08/08/17 09:39,1785.5,1785.7,1785.0,1785.0,965
08/08/17 09:40,1784.25,1785.5,1784.25,1784.5,705
08/08/17 09:41,1785.0,1785.45,1784.75,1784.75,851
08/08/17 09:42,1784.25,1785.25,1784.25,1785.25,294
08/08/17 09:43,1784.3,1784.9,1781.1,1781.45,2837
08/08/17 09:44,1781.7,1781.7,1780.0,1780.65,2721
08/08/17 09:45,1780.1,1780.1,1776.25,1777.0,2375
08/08/17 09:46,1777.45,1778.2,1776.6,1776.95,2383
08/08/17 09:47,1777.75,1777.75,1772.5,1772.5,6743
08/08/17 09:48,1772.5,1772.5,1770.6,1771.1,3286
08/08/17 09:49,1771.65,1775.45,1771.6,1774.6,2862
08/08/17 09:50,1774.6,1774.8,1773.0,1773.0,1016
08/08/17 09:51,1773.5,1774.5,1773.0,1773.65,2609
08/08/17 09:52,1773.0,1777.45,1773.0,1777.0,2062
08/08/17 09:53,1776.15,1777.2,1775.15,1776.25,739
08/08/17 09:54,1774.35,1774.65,1772.9,1774.65,6743
08/08/17 09:55,1774.1,1774.6,1772.5,1774.55,4217
08/08/17 09:56,1773.75,1774.75,1772.65,1773.4,9805
08/08/17 09:57,1773.2,1774.35,1772.55,1773.9,4480
08/08/17 09:58,1773.0,1773.1,1771.0,1771.5,3331
08/08/17 09:59,1772.35,1772.35,1771.0,1771.0,2207
08/08/17 10:00,1771.0,1771.75,1770.2,1770.55,1533
08/08/17 10:01,1770.55,1771.05,1768.25,1768.25,3154
08/08/17 10:02,1768.5,1771.0,1768.25,1770.9,3379
08/08/17 10:03,1770.0,1773.15,1770.0,1771.6,1382
08/08/17 10:04,1772.5,1772.55,1771.0,1771.5,552
08/08/17 10:05,1770.55,1772.05,1770.55,1771.75,368
08/08/17 10:06,1771.5,1773.9,1771.5,1773.9,598
08/08/17 10:07,1774.0,1774.0,1773.0,1773.8,637
08/08/17 10:08,1772.55,1773.5,1772.0,1772.0,1885
08/08/17 10:09,1772.65,1772.65,1771.0,1771.0,535
08/08/17 10:10,1771.0,1771.0,1769.2,1769.2,1563
08/08/17 10:11,1769.8,1771.0,1769.0,1770.95,1141
08/08/17 10:12,1770.75,1770.75,1769.55,1769.55,854
08/08/17 10:13,1770.0,1771.65,1770.0,1770.55,706
08/08/17 10:14,1770.05,1770.95,1769.75,1770.8,649
08/08/17 10:15,1771.35,1771.35,1770.0,1770.0,869
08/08/17 10:16,1770.0,1770.0,1766.2,1766.95,3789
08/08/17 10:17,1766.2,1769.7,1766.1,1767.65,4302
08/08/17 10:18,1768.2,1770.0,1768.2,1769.9,1246
08/08/17 10:19,1769.9,1770.0,1769.25,1769.5,1780
08/08/17 10:20,1769.9,1771.5,1769.9,1770.85,4051
08/08/17 10:21,1770.85,1772.1,1770.0,1770.7,2074
08/08/17 10:22,1770.7,1772.15,1770.5,1771.95,3272
08/08/17 10:23,1771.0,1773.4,1771.0,1772.4,5180
08/08/17 10:24,1772.4,1773.8,1771.85,1773.0,3799
08/08/17 10:25,1773.75,1774.25,1772.7,1773.75,3849
08/08/17 10:26,1774.15,1774.15,1772.8,1773.8,4387
08/08/17 10:27,1773.8,1773.9,1773.35,1773.7,2461
08/08/17 10:28,1773.9,1773.9,1773.5,1773.9,6010
08/08/17 10:29,1773.9,1775.55,1773.9,1775.55,7429
08/08/17 10:30,1775.55,1776.8,1774.85,1776.0,4519
08/08/17 10:31,1775.95,1775.95,1774.9,1775.0,14569
08/08/17 10:32,1775.0,1775.25,1774.5,1774.5,21880
08/08/17 10:33,1774.0,1774.5,1773.1,1774.2,20137
08/08/17 10:34,1774.25,1774.75,1773.75,1774.75,1137
08/08/17 10:35,1774.75,1774.95,1774.0,1774.85,3337
08/08/17 10:36,1774.9,1776.25,1774.85,1776.25,2490
08/08/17 10:37,1775.95,1776.5,1775.95,1776.0,738
08/08/17 10:38,1776.25,1777.5,1776.15,1777.5,2084
08/08/17 10:39,1777.5,1777.5,1776.5,1777.35,1853
08/08/17 10:40,1777.4,1777.7,1777.0,1777.0,2755
08/08/17 10:41,1776.75,1777.5,1776.5,1776.9,3148
08/08/17 10:42,1776.9,1776.9,1776.3,1776.5,1969
08/08/17 10:43,1776.5,1777.0,1776.0,1777.0,2345
08/08/17 10:44,1777.0,1777.0,1776.05,1776.65,1079
08/08/17 10:45,1776.3,1776.85,1775.0,1775.95,3817
08/08/17 10:46,1775.55,1777.0,1775.0,1776.5,1911
08/08/17 10:47,1776.5,1777.1,1776.45,1777.0,2380
08/08/17 10:48,1777.0,1777.05,1775.5,1776.0,1027
08/08/17 10:49,1775.5,1776.55,1775.0,1775.85,1818
08/08/17 10:50,1776.4,1776.4,1775.85,1776.4,1922
08/08/17 10:51,1776.4,1776.7,1776.1,1776.6,1421
08/08/17 10:52,1776.6,1777.1,1775.75,1775.75,3604
08/08/17 10:53,1775.75,1775.75,1774.5,1774.65,25776
08/08/17 10:54,1774.65,1775.0,1773.5,1774.5,4417
08/08/17 10:55,1774.5,1774.6,1773.7,1773.75,1238
08/08/17 10:56,1774.2,1774.5,1773.15,1773.5,2376
08/08/17 10:57,1774.1,1776.3,1773.05,1776.3,4003
08/08/17 10:58,1777.0,1777.7,1775.8,1776.4,1949
08/08/17 10:59,1776.9,1777.0,1775.4,1777.0,860
08/08/17 11:00,1776.9,1777.0,1775.45,1776.05,163
08/08/17 11:01,1775.0,1777.45,1775.0,1777.0,3167
08/08/17 11:02,1777.0,1777.35,1776.1,1776.1,200
08/08/17 11:03,1777.0,1777.0,1775.35,1776.2,449
08/08/17 11:04,1776.2,1777.0,1775.45,1776.1,378
08/08/17 11:05,1776.0,1777.1,1776.0,1776.5,2096
08/08/17 11:06,1776.4,1777.0,1775.7,1775.8,2749
08/08/17 11:07,1776.85,1776.85,1775.1,1775.85,1615
08/08/17 11:08,1775.8,1776.2,1775.3,1775.8,387
08/08/17 11:09,1775.8,1776.25,1775.0,1775.2,2664
08/08/17 11:10,1775.25,1776.6,1775.2,1775.75,379
08/08/17 11:11,1776.0,1776.95,1775.5,1776.0,521
08/08/17 11:12,1776.55,1776.55,1775.55,1776.0,312
08/08/17 11:13,1776.0,1776.6,1775.5,1776.6,829
08/08/17 11:14,1776.6,1776.9,1775.7,1776.8,1758
08/08/17 11:15,1776.8,1776.8,1775.0,1776.3,11021
08/08/17 11:16,1776.25,1776.25,1775.6,1775.65,329
08/08/17 11:17,1775.65,1775.9,1774.65,1775.9,2418
08/08/17 11:18,1775.95,1775.95,1775.0,1775.3,678
08/08/17 11:19,1775.9,1775.9,1775.0,1775.0,1345
08/08/17 11:20,1775.75,1775.9,1775.0,1775.8,376
08/08/17 11:21,1775.8,1776.45,1775.35,1776.45,132
08/08/17 11:22,1776.3,1776.5,1775.4,1775.4,138
08/08/17 11:23,1776.2,1777.6,1775.5,1776.15,3641
08/08/17 11:24,1776.9,1777.6,1776.3,1777.25,1259
08/08/17 11:25,1777.45,1777.75,1776.35,1777.0,906
08/08/17 11:26,1777.9,1778.0,1777.0,1777.0,2351
08/08/17 11:27,1777.25,1777.5,1777.0,1777.5,1393
08/08/17 11:28,1776.55,1783.6,1776.55,1783.45,4453
08/08/17 11:29,1783.45,1783.45,1780.05,1780.95,2616
08/08/17 11:30,1780.3,1781.05,1780.0,1780.0,1115
08/08/17 11:31,1780.0,1780.0,1778.05,1778.3,620
08/08/17 11:32,1778.3,1779.85,1778.05,1778.1,388
08/08/17 11:33,1778.25,1779.45,1778.25,1779.45,122
08/08/17 11:34,1779.5,1779.5,1778.0,1778.0,1557
08/08/17 11:35,1778.0,1778.9,1775.0,1776.2,8938
08/08/17 11:36,1775.0,1776.75,1775.0,1776.45,3212
08/08/17 11:37,1776.2,1776.8,1775.9,1776.7,158
08/08/17 11:38,1776.7,1776.7,1775.9,1776.7,169
08/08/17 11:39,1776.65,1776.7,1775.8,1776.55,109
08/08/17 11:40,1775.85,1776.7,1775.75,1776.0,93
08/08/17 11:41,1776.5,1776.85,1775.45,1775.45,1252
08/08/17 11:42,1775.45,1775.95,1775.1,1775.35,219
08/08/17 11:43,1775.95,1776.9,1775.95,1776.9,388
08/08/17 11:44,1776.4,1778.65,1776.3,1778.65,294
08/08/17 11:45,1778.0,1778.9,1777.25,1778.9,1196
08/08/17 11:46,1778.95,1778.95,1776.15,1776.8,2310
08/08/17 11:47,1776.25,1777.2,1776.25,1776.35,116
08/08/17 11:48,1776.8,1777.5,1776.7,1777.4,154
08/08/17 11:49,1777.7,1777.8,1776.25,1776.5,145
08/08/17 11:50,1776.55,1778.4,1776.55,1777.4,606
08/08/17 11:51,1777.5,1778.0,1777.4,1777.4,94
08/08/17 11:52,1777.4,1778.4,1776.55,1776.55,125
08/08/17 11:53,1777.0,1777.35,1775.95,1777.0,1179
08/08/17 11:54,1777.05,1777.2,1776.25,1776.6,106
08/08/17 11:55,1776.65,1777.4,1776.1,1777.05,166
08/08/17 11:56,1776.25,1777.4,1776.25,1776.3,120
08/08/17 11:57,1776.05,1777.2,1776.05,1776.5,322
08/08/17 11:58,1776.35,1777.0,1776.05,1776.05,116
08/08/17 11:59,1776.05,1776.95,1775.95,1776.65,228
08/08/17 12:00,1776.1,1776.75,1775.8,1775.8,640
08/08/17 12:01,1775.8,1776.95,1775.8,1776.9,822
08/08/17 12:02,1776.9,1778.5,1776.9,1778.45,1228
08/08/17 12:03,1778.5,1779.0,1777.95,1778.2,1242
08/08/17 12:04,1778.8,1781.95,1778.25,1780.7,3428
08/08/17 12:05,1780.65,1781.95,1780.3,1781.5,1861
08/08/17 12:06,1781.9,1781.9,1779.6,1779.6,721
08/08/17 12:07,1778.9,1781.0,1778.9,1779.45,3013
08/08/17 12:08,1779.95,1780.05,1779.2,1779.25,427
08/08/17 12:09,1779.95,1780.5,1779.4,1779.4,490
08/08/17 12:10,1779.4,1780.8,1779.4,1780.5,649
08/08/17 12:11,1779.95,1780.85,1779.6,1779.8,1244
08/08/17 12:12,1780.5,1780.85,1779.65,1780.0,212
08/08/17 12:13,1780.0,1780.85,1779.3,1779.55,353
08/08/17 12:14,1779.75,1780.9,1779.75,1780.9,453
08/08/17 12:15,1780.5,1780.85,1780.1,1780.45,530
08/08/17 12:16,1780.1,1780.9,1780.1,1780.5,2040
08/08/17 12:17,1780.5,1781.5,1780.5,1781.5,261
08/08/17 12:18,1781.5,1781.7,1780.75,1781.65,182
08/08/17 12:19,1781.6,1781.7,1781.0,1781.5,205
